node,Green LED,Yellow LED,Red LED,Idle,TRX_OFF,PLL_ON,RX_ON,TX TX_PWR 0,TX TX_PWR 1,TX TX_PWR 2,TX TX_PWR 3,TX TX_PWR 4,TX TX_PWR 5,TX TX_PWR 6,TX TX_PWR 7,TX TX_PWR 8,TX TX_PWR 9,TX TX_PWR 10,TX TX_PWR 11,TX TX_PWR 12,TX TX_PWR 13,TX TX_PWR 14,TX TX_PWR 15
1,131.0880036411784,130.69273469049983,130.26017709367758,122.40544084064206,126.23821830519697,142.32350413770274,163.33597583581596,168.2421178222737,168.1208579940417,167.34834591194968,165.66696689837804,163.9348335263942,162.1103925202714,160.32132489241974,159.95702383316782,159.97558053839364,158.02733120035305,156.11903795233894,154.18941867137497,152.19537687555166,150.30334973521624,150.6919874227714,149.35574470432482
2,131.20800738998992,132.4552322028207,131.99949126930824,123.13630567685591,126.05056195433176,143.20959630562552,165.6252592343855,169.2294434184016,168.79825323257765,167.86915010073875,166.2735438213566,164.79471356615178,164.02041118200134,163.02312441235728,160.99965480188047,159.77564853369154,159.3430219386613,158.15972554286992,156.04933176628612,154.18989702261024,153.46878620998433,152.1664195209313,149.9240371614059
3,131.91453672032193,132.1059072769953,132.12114302481552,123.48137485331098,126.01318578135479,143.75650100603625,165.3655690811536,169.55285865191146,168.12617136150232,166.94801341381623,166.29946042924212,165.04788032182367,163.22176961770623,163.10455751173708,161.66175368879948,159.49919584171695,158.886301363738,157.6996863402638,155.772050737595,154.54735211267607,153.66950793650793,151.68358864296894,149.54651285490723
4,128.23405330381473,127.77179390223131,127.47591570163486,119.32680977520435,123.08650945324476,139.2860279291553,160.120461852861,164.68195792163542,165.19898995060467,163.4983681880109,161.82927065235904,160.0450797274276,159.11469022479562,158.56640139645776,157.7742876852325,155.8171399046105,153.8935336058129,152.9141907356948,152.05559482171248,151.16800068119892,149.0553299273388,146.93846491028845,145.92451612170754
5,128.43746744109947,128.6057638207393,129.0086677023712,120.62206475878983,123.46063504007853,141.1191542866492,163.80846916407657,166.11408603205757,165.36100866721176,164.23207195421097,163.09073024701453,162.1749564790576,160.95026407068065,159.61454474071652,158.1649916584887,157.33651613606628,156.18081330425298,154.36900087260037,152.47404253926703,152.16545757906215,150.17178129088532,148.1842186614345,147.46712996075013
6,126.50666253143336,126.68130499664653,127.14714568315172,118.92765878604965,121.57621881287726,139.5286348088531,162.20627531857815,164.45391784037557,163.26044600938968,162.24316482226695,161.3451800804829,159.94768410462777,158.76083953722335,157.70409121395036,156.46123474178407,155.1897205454952,153.9432199865862,152.70350994858038,151.27462016543709,149.79266554884862,148.71357992398836,146.88060160965796,145.31962226195796
7,131.16954865938428,131.26812826878518,131.5351539225422,123.32450339235479,125.73853922542203,143.25873303541871,164.32122293942402,167.94441452920736,167.08308606421716,165.8276135385634,165.03070142336975,163.7310322687407,162.60358017540958,161.54341939755048,160.1468859649123,158.8474097528685,157.59640247131506,156.18381398940866,154.95769874199954,153.63554457193294,152.2131663724625,150.61478817299204,149.23604126213593
8,134.34042942743008,134.12146678874646,134.36314333277844,125.63703928749791,126.97133388814913,143.8310334609622,166.42994673768308,170.9028155792277,169.19255292942742,167.39751140336273,165.6406770434493,166.8719547194939,165.05861384820238,164.15913883802233,162.19111236890294,160.30233865956504,158.37439769196624,158.9189316466933,156.94240634709274,156.15909054593877,153.98654682645363,151.75240244173142,150.97669189789124
9,128.2789567307692,128.57485088472774,128.7738421775717,120.55007986946065,123.27526979220333,139.9584351485999,161.43627197802195,165.04082096219932,163.93796342091704,162.90701580484455,161.7656698728959,160.77076245276538,159.5271932657619,158.2190848359952,156.91194570446737,155.8378788919414,154.45861580756014,153.16571444927868,151.85368437929452,150.5431401740724,148.9049542019693,147.45438190148914,146.07244986263737
10,127.14976956225901,126.83412879818593,127.54347845804986,120.28689229024943,123.1464194646098,139.78380249433107,161.04064535147393,165.40419092970524,166.27745918367344,164.69607596371878,163.03706961451246,161.26924988662134,160.76124013605445,159.04010591970967,157.11911700680272,156.50906394557822,154.68609149659864,152.84956156462584,150.94918231292516,150.67406904761904,150.49673537414967,148.49735102040816,146.41327254168084
11,126.29575212657367,128.54838146258504,128.28949098639455,119.23539659863947,121.59705869343313,139.4663602040816,161.11832959183675,164.72867465986394,163.20518642626297,162.19287653061224,162.01802108843538,161.26429846938774,159.56223843537418,157.73641945909168,156.8022818027211,155.06332766439908,154.33891337868482,153.37234535147394,151.40561678004536,149.40175487528344,147.3069768707483,146.27120113378683,146.02538203266786
12,131.0225808423913,130.55719786005434,130.43798335597828,122.03083712635869,125.96789826766306,142.49544921875003,163.71989436141305,166.49135676685344,164.8695990830362,165.14516627038043,163.4529035326087,161.81616864809783,160.93258695652176,160.10099898097826,158.6143507133152,157.2426075634058,156.09093976449273,154.3044644474638,153.66674303826127,152.95945030563732,150.9097124094203,148.96707518115943,148.15987703804348
13,131.44086600537997,132.06126959300371,132.1031503278964,123.82940232010762,126.12873448797713,144.2510645595158,166.19651748486888,167.90756407669022,167.20173107971743,165.8156639206456,165.01501076172858,164.0692334342415,162.44092954430806,162.36469855413586,160.6179376051127,158.86155269058295,158.80483232459088,157.07495471867296,155.2991607983853,154.21520085182695,152.94683703205558,150.939932735426,150.3865485534873
14,132.18298506972928,132.13958146021326,132.30698851706038,123.82510137795275,126.6124901574803,144.7482690288714,166.2803227235439,170.30299311023623,168.8515278871391,167.6296610336341,167.345843503937,165.6879939304462,164.07065955701393,163.74025853018375,162.289562828084,160.4443038057743,159.0574294465106,158.59634820647418,156.8163947944007,155.3825998687377,153.47109011373578,152.5414326334208,151.06199649967186
15,129.39162506224068,129.59320999335992,129.79581161825726,120.86054970954356,124.2212572614108,141.76199900398404,164.33002257261415,166.53045219123507,165.03605178423237,164.3043060580913,163.52009975103735,162.731110373444,161.23762074688796,160.2323719502075,158.49983302904565,157.29945152722442,155.64657070148263,155.01280858597036,154.24751969898185,152.384675813233,150.45979703408588,148.50002855245683,147.74735590969453
16,127.35255825565913,126.98093058098883,126.83186016314299,119.24584185117364,121.49116161784288,138.93022623605793,159.3980382822903,165.09895471949392,163.5980883821571,162.63613550857332,161.06676477442986,160.60165079893477,159.48317446312635,157.7855772303595,156.02291926086235,155.02911939636041,154.1333103218646,152.8694651575677,150.99628029294274,149.19537225305217,147.96075765645804,147.67553451720315,145.62315290723478
17,123.80615302550424,124.35344881627208,125.85174658219405,117.05183177725907,118.83231393797934,135.7166203734578,158.65151558593098,165.8431895,164.35471683333336,162.74344983333333,161.10038606434404,159.44742480826943,158.09011953984663,156.2141097032344,155.91772107369127,155.70685507890641,153.74595976883754,151.68415755555557,149.6955017777778,147.68533622222225,146.05047032673926,144.49751189153145,142.3979381947532
18,128.35513448735023,127.9305931413351,129.06719510571003,121.38180489428998,123.09141195073235,139.85534426502414,162.3172425099867,166.0548273680706,164.4192315246338,162.77056450807393,161.8572568669885,160.37918292276964,159.5865453637423,159.42308788282293,157.81767437989012,155.71901020861074,154.55377225305216,153.191493786063,152.54226986240567,150.59334184239734,149.74630758988013,147.80188679245285,147.0001120727918
19,127.56879388189104,129.08727019954202,128.81055284685866,121.94971540726202,123.3070883218842,141.10068727510634,163.21289856020942,166.20318334968925,166.4997634936212,164.80676234870788,163.0733846908734,162.61654195975788,161.39567811579983,159.56031670211027,158.59871328099442,157.8939230098146,155.974813740458,154.49817749672917,152.75033958560522,150.68914198473286,149.3793494002181,149.18604340239912,148.20174269515914
20,130.60885837765957,129.98045944148936,130.58696758643615,122.34947922207445,124.50871359707448,142.26482945478722,162.53212317154257,167.27918866356381,165.70019930186172,165.32755634973404,163.8020739694149,162.46892436835105,161.25598337765956,160.9052288896277,158.99504521276594,157.81866289893617,156.90659197695032,154.9687486702128,153.86954986702128,152.8418973847518,150.76220212765958,149.56548625886526,148.13568461879433
21,131.61733266466064,131.14458662207358,131.02291237458195,122.53431360748914,125.83798829822801,143.57873344481607,165.6398602006689,169.6698720949674,168.81696239973263,167.9555452114324,167.15549481605348,165.32017107023412,164.43641137123745,162.55225221460807,161.5009428475936,159.84484395898352,159.11587714604235,157.08498862876255,155.89324988854213,154.2653137254902,153.314581457544,151.09150501672244,150.23645529542924
22,128.33043279297536,128.88902448497132,128.76597348420873,121.69453748733534,123.85612934819319,140.81396757852076,162.8499984802432,167.56993228638973,166.8097352245863,165.170958122256,164.46572559945963,162.68662310030396,161.7959662276258,160.63715552178317,158.99538095238094,158.0034771447872,156.243196758217,155.4002733003152,153.4692304054054,151.43113349842412,150.09736109860424,148.4748231981982,148.25680504277352
23,129.78675414832375,130.7130733276884,122.27357290431837,121.85803860480868,125.346527100271,142.5053184281843,163.8389856054191,167.93096596104994,167.0256609652837,165.88902099559772,164.36691244707876,163.19440406435223,162.7532133423637,161.5728069432684,159.724510501355,158.6167662601626,157.5037581300813,156.1219805781391,154.50010024836305,152.61645947166403,151.45887017385414,150.17990471889817,149.05928087604428
24,128.2925359152599,128.7597072161536,128.8613798411122,120.51146996524905,122.96422856669977,140.92697269116186,162.2439195630586,168.39300248221082,167.50332423038728,166.0672975835816,165.02297153260508,163.5530632136356,162.62145953996358,161.09364283349888,159.44584243627938,158.0970467784643,156.5202992056487,155.08964585172112,153.6982372544692,151.91989894086495,150.3013753309797,148.7463064872021,147.18053795233894
26,129.56479413269656,129.08342479536154,128.96883867667125,121.50179464438,124.39096845156888,141.12120228551936,162.87553146853148,165.46162732389564,164.7102027972028,163.24935254988912,161.77470697595086,160.888083077448,159.34835749616238,159.0231089885724,157.57500767656092,156.77806413463728,155.1575799408688,153.47989151694338,152.6998715032977,151.69882874687286,150.04672071867185,149.08541496134606,147.26262383443256
27,128.0211568561309,128.69441197301856,128.7492399662732,120.38620300118025,122.04552107925801,139.08557427078065,161.4871750421585,165.79944418212477,165.1670990048912,163.6712991568297,162.05376037099495,160.8890288412886,159.680229005059,159.62849780775719,157.80509189006915,155.79972819244603,154.00586957499436,153.33695076438846,151.5067612410072,149.92916797841244,148.90247132898583,148.12041232014388,146.14140827338133
28,130.9621406119378,130.91712004681492,131.39550710583515,123.04799331215514,125.80199481778668,142.46838415245736,163.44149247743232,167.72785172183217,166.6192965563357,165.45594700768973,164.46745636910734,163.2717703109328,162.15083032430624,160.87159354622975,159.5356798194282,158.33241204013376,157.1283480490524,155.71515719063544,154.24032055283104,153.08680539456088,151.35972804279982,149.7437561301828,148.4725577351761
29,131.99816457839486,132.25001117696866,132.5949681625741,124.05128987470368,126.73610518292683,144.5582984417344,166.78706587637595,173.6010277730737,172.53161439458086,171.383057399255,170.10501608806095,168.9698870448772,167.5510274297325,166.14717612193058,164.63345189701897,163.24146838301715,161.65717411924118,159.9815178410117,158.45467870851206,157.0023664484082,155.11429577782795,153.3815597200271,151.57291465342064
30,131.40492473821988,131.51041969250898,132.6429432542927,123.76245134914144,126.6710248650417,143.1874407722513,165.63712350727957,170.4010799803729,169.32739493049877,168.56566639411287,166.96073090135778,165.68972725785338,164.63933180628274,163.39540749222968,161.34778884527316,160.68017989533365,159.15138298800437,157.29338896160561,156.48217364746947,154.39861984732826,152.85444788486697,151.40089622847177,149.85723593545575
31,129.93528165584416,130.5793341994154,130.76285549602207,121.5858693181818,125.01507957128938,141.73955227272728,164.07199107142856,170.5067755764859,168.71633306268268,168.92371655844155,167.9238348757915,165.8741922702176,164.84595583698655,162.8056055194805,160.62749656526006,160.85920783719422,158.94075865800866,156.78047705627708,155.73602750108273,153.48002532467532,151.10185995670997,150.0520127733276,148.86298397921627
32,126.19758049738219,125.65148146532925,125.30517048179638,116.6245704317488,121.43052857766145,137.02439856020942,157.16107044711015,163.45989315307457,163.00235622411162,162.4141838203227,160.5863051919721,158.759357547993,158.03634162303663,156.07974329334783,156.46007610117752,154.1316542361793,152.02857198952879,149.95675065445027,149.6959407722513,149.44204546941444,147.1183384565075,144.8763430346632,142.5976882564606
33,127.47301524188204,127.43819350563287,128.14232587806495,119.51379111405838,123.41519595490718,138.67581482095488,160.62771120689652,164.35663875994695,163.4550568633952,161.67482443633952,160.709962367374,159.63508405172414,159.1727270467352,157.26617942345925,155.27197299536115,154.31970156836758,154.1960572122819,152.1585723437155,150.13634504862952,149.40957007073385,148.8845921750663,146.6925406719717,144.53459416445622
34,126.85416721744875,127.25067085261068,128.18384385327167,119.69857435558492,122.24022224058162,140.15017616922822,159.80320442901998,165.58372021153528,163.79511485704842,163.87194578512396,162.8162538842975,160.8490109090909,159.54547008264464,157.83051322314049,157.85466710743802,156.28789973556633,154.24789491077328,152.07727214631996,151.14606983917162,150.22105904384225,149.06648799295,146.74411830799735,144.52063472130425
35,132.8872180363394,133.47927225741915,133.40531777259085,124.99009919973324,127.68791263754586,145.35425291763923,166.30903617269547,171.80420166666664,170.29817366666666,169.36139599999998,168.0698274712452,166.88603901300434,165.60481760586865,164.3916877292431,162.9056047015672,161.94543809735498,160.37277995110026,158.86042422222224,157.74024111111112,156.06518,154.54775194487664,152.85462769504332,151.60867563361495
36,126.92315055574267,127.19284994947793,127.38358336140115,118.97874317952174,121.7663861569552,139.04561872684405,161.27211417985853,164.50272297069722,163.42646547659143,162.41764196699228,161.54122078140787,160.25418204782758,158.7776416301785,157.79983529808015,156.32811249578984,154.75809160305346,153.73629187247417,152.59464234396052,150.7821293219578,149.42715940727436,147.69105321059723,146.33503749438705,144.74726111360576
37,129.50518069306932,130.96060561056106,131.48726402640264,122.37916254125413,124.75712574257426,143.30140297029703,166.7083074257426,172.13389488448846,170.5451574257426,169.41306419141912,168.4401871287129,168.3582602310231,166.34193103448274,164.21469554455444,161.94969257425743,161.07587304730473,159.46203630363038,159.13722750275028,156.83073927392738,154.55082464246428,152.13283212321232,151.01906842684267,148.53465786578656
38,123.15243904086456,124.75122969093057,124.75628520770009,117.72577727119217,119.19423171761527,135.83610167201488,158.13255471124617,163.92491759540695,163.13790526849033,161.5285254981425,159.83806568726783,158.15812970781963,156.42080256713396,154.90022087132724,155.40749915569066,154.08545372663815,152.67529040972533,150.80010220621344,148.88564084665617,146.96154379644224,144.88953276289124,145.44881197928393,144.44885093447422
39,131.1792839609953,131.7838481331988,132.44863124264336,123.80847478143914,126.17815335463258,143.16497932078008,166.0118355196771,172.30092130485954,171.25072225958309,170.9154466868483,169.48746772024208,167.48440248823135,166.00138681466532,165.06087104909216,163.4983217888366,162.01101210762332,160.73526204886795,158.4826953597848,157.1474600896861,155.6123429724277,153.26440022421525,151.553065470852,149.87628558619144
40,132.0957411804613,132.24046981004074,132.68804324232661,123.330473541384,126.38843724559021,144.75035295115333,165.29586244911806,169.8369609971172,168.82867588195384,167.95352221845317,166.73088570459558,165.33355384093608,164.27314637042062,163.25414041037814,162.09024961845006,160.19560244233378,159.16737336047038,157.36374112593265,156.32958864767073,155.33691791044777,153.32064752430477,152.29217299864317,150.2930682948892
41,130.44385794583548,130.2366624084483,130.0409938692098,121.12505961505705,124.58362272185316,142.91993783001192,165.69816777380345,166.6672512348833,165.29602282405043,163.8651086697326,162.43616927792917,161.36748748083804,160.61064384261624,159.67051422244936,159.6675907000511,158.23341734786558,156.6309797865092,154.97577452316077,153.3494074494663,151.69313169845594,150.30731410402,149.36786077674313,149.9277821939587
42,133.70777344273276,133.61237491627594,133.94993587811817,124.95151649087559,128.35391661085063,145.38231106646577,167.4240674815807,172.43778737652775,170.80563251297505,170.56098459735477,168.90007148836432,167.21638027461486,166.8365003348962,165.08608271935702,163.23262615101288,162.21960080375084,160.72149575892854,158.78236093750002,157.8095804867158,156.31371958026344,154.3806496985934,153.10977879464286,151.46767894619333
43,128.00257031895555,128.7496313615334,128.81139844653777,120.06811120290813,123.00608740912097,141.2835541232854,161.42958294778583,166.35687671459266,166.04311898859694,164.45130771773262,163.46198991902168,162.57921153528343,160.8938140803173,160.17147083126756,158.48910791604692,157.04265080414186,155.6036782723667,154.39278034809428,152.98827677390923,151.55007270323858,149.96825077126488,148.40044194756555,146.75724900837375
44,129.19002808894834,129.80953034609595,130.16262347433542,121.57149757565624,124.92785172183216,141.536661150117,164.08768421932464,167.30396522902038,165.81542661317283,164.3149401537947,164.44287796723506,162.9270075225677,161.32678686058173,159.7059540210667,158.62297124226717,157.57271348940915,155.8364147157191,154.0813128205128,153.37079246544806,152.5668682567989,150.63875167186805,148.76023718234507,147.67842086491302
45,129.44050325596928,129.05520317195325,128.4574429978301,120.77901135225378,123.59972320534223,140.66737034563366,162.48542287145244,166.79383355592657,165.26407210816225,164.35641846102487,162.76060043412923,162.4692631051753,161.82991601268992,160.10978347245407,158.31741028208978,157.21663743601155,155.42717070999333,154.9019759626085,153.6386711932324,151.6935319385711,149.7188918317383,148.6139884264411,146.63387180057867
46,130.69039704675964,130.4909558654635,130.13490846456693,122.93550164041994,124.79243996062992,143.45319488188977,165.10634487284662,168.96811909448817,167.54030462598425,166.92122346185397,166.2950337926509,164.71374983595803,163.15326628383923,162.36607939632546,161.58047752624674,159.52827099737533,157.81220148763947,155.9274728783902,154.39221850393702,154.23901684532925,152.2519995625547,150.17752624671917,148.2668518923649
47,128.3733420746888,128.41616168658697,129.0857536929461,121.08055186721991,123.5155865560166,141.141859063745,161.0479462240664,164.74677274236387,164.04726871369297,162.91986987551869,161.3109956846473,160.97132165975103,159.2870446473029,159.03792746887964,157.26767435684647,156.1033118636565,154.98445142730694,153.14219008630226,152.60935258964142,150.87013144500995,149.07833930942897,148.18201040283313,146.52167042939354
48,126.14417443431272,126.76591641337384,126.60323188650565,117.92662259371833,120.52824535629854,139.5920332657886,162.8699231678487,166.28822914555894,164.73653461668354,163.1783801080716,162.32176781492737,160.6312904424181,159.87259929078016,160.01587926376226,158.14630665315772,156.15790159873902,154.2789146780729,153.67571701936066,151.7729900900901,149.8530261143629,148.20965015758665,146.94682409909913,146.08326046825758
49,129.81951747669774,130.0323727318129,130.37537256534043,122.03946512402199,124.79496587314799,142.26571067088395,163.6657179956717,167.3862363515313,166.3580700732357,165.27727846205062,164.19618575233025,163.09897702680206,161.91322323955387,160.67899334110206,159.33915800865802,157.89806015538292,156.77320443951166,155.38132578783845,154.00697026187308,152.6413373280071,151.18466444740346,149.70066045272966,148.25575449500556
50,128.02324694048616,128.01409054325958,128.40429689857504,120.34349983232728,122.87256002682764,140.243686787391,161.06849647887324,164.7729349429913,163.79040995975853,162.59953940308517,161.72199882629107,160.64254258886655,159.3867439637827,158.04196076458751,157.0074523809524,155.5322021014979,154.17602280348757,152.96316901408449,151.89419025262686,150.24562575452717,148.9913825173262,147.5079295774648,146.0837063030845
51,134.34927570640363,133.85292626651062,133.2110374519311,124.3992611603411,128.41303477097964,145.77516683383487,169.25609762621198,170.7008849882982,171.90100434637242,170.15098896690074,168.34759495152122,166.3571252089602,165.51367051153463,165.58373867246283,164.5441347600736,162.39763389074693,160.4165429208473,158.38159710144927,158.85440548372716,156.81593802942487,155.90563597860012,153.7041205974142,151.56109585376726
52,126.7513510319574,128.39143832195774,127.98244731146995,118.92929648743134,123.18134670439414,139.61046628932914,162.3981677762983,164.05270584318296,163.34102247003995,162.74726768769767,161.7467379723656,159.903616011984,158.86738022307307,157.9917668109188,156.03403728982855,155.53007123834885,154.75551542730298,153.12336196182866,151.13535463826008,149.41268679245283,148.19237572126053,147.22171542730297,146.46928628495343
53,126.17901624764835,125.73610501111679,126.14491535567716,118.4312334131327,120.50618912448701,137.48064836668374,161.28333350436122,163.56654926445432,161.88867824153266,161.6803647562019,160.72789206294902,159.68798237810097,157.86717362299004,156.85770287375982,156.01520814092694,154.1507256556442,153.17160601915182,151.1741340629275,150.73554468764252,149.18411810305517,148.05654719562241,145.8951890104879,143.9632323831243
54,127.1812603724273,127.28075959496977,128.05624563122652,119.60506369426751,122.21963138984157,140.53995819042953,162.37165490772497,166.41748954590003,165.34029740323373,164.41969764782752,163.2655504737014,161.85179813816754,160.95396635086573,159.57490282541238,158.35195018781644,157.0082539198606,155.56365505226483,154.32180618466901,152.66860910278746,151.65149107142855,149.95932360627177,148.35826328397212,147.15484062704115
55,129.52515364061458,129.24214903204273,131.08003139612558,121.50149749666221,125.3095927903872,141.5359191716767,163.36102353530293,169.35519726301737,168.04205494321977,166.27712116154873,166.00567117568474,164.59061999332445,162.09996042084168,161.79692289719628,160.71798230679352,157.95625562235583,157.5069101023587,156.37682075261637,153.67669492656876,152.38022444889782,151.77896306186025,149.05311868180806,147.59903871829104
56,129.54376676141112,129.6991939475004,130.12568098980103,121.85176676141114,124.46380926111668,141.77818538950186,164.89160147107992,168.00986225342692,166.82302925442997,165.79970829154132,164.63767652958876,163.41185222333667,162.2098243062521,160.8960642033105,159.56436432034775,158.2349226309922,156.78630657748047,155.32157101449275,154.03309384752563,152.6848896567098,151.04997012929113,149.41408069549712,147.85544516272847
57,132.1954300271739,131.46921807065218,132.72726069972828,124.05625016983697,126.12395906929346,144.90710563858696,167.01063264266304,170.1316871603261,167.91939792798914,167.78908576766304,165.78514079483693,165.5418121603261,163.41291015625,163.08195261548914,161.20379262907608,160.44286163949275,158.80225271739133,157.80996444746378,156.75246965579709,155.0209576539855,153.8159227807971,151.9937139945652,151.0761222826087
58,128.9717204568024,128.17236908308507,130.10428103277061,121.69033129240442,124.17116931479643,142.29088761999336,163.57478533598146,167.06977180208506,167.5892025819265,165.56281479642504,163.438834326382,163.00581234486182,162.4290870428595,160.18924511751075,159.31247533929164,158.1095796557811,157.04206376875555,155.37468203883495,153.64124542043697,152.58621932921446,150.70818909973522,149.30487886142984,147.96895763459838
59,132.39365745672436,132.69000998834693,133.06554885966372,124.62264508073915,127.32342726364848,145.1201981022141,168.29135968708385,171.97402513733977,171.00112233688415,169.8888901281838,168.71163426002997,167.52019940079893,166.32507141668054,165.0428695073236,163.70362909938405,162.18037172658677,160.80749811320757,159.38436107412338,157.97159409675987,156.476194672586,154.87533555259654,153.38071742508325,151.7833797159343
60,128.95890074688796,128.83802490039838,128.9601990041494,120.92661537184595,124.20113029045645,140.57455684647303,162.59313958506223,166.84096995351925,167.28519306108896,165.43204764276229,163.62111153526973,162.53367164674634,160.63339634854773,161.3140615767635,159.2186027556441,156.9476415136092,156.15650442673748,154.04244090305443,153.19848826914566,152.12107568046028,149.92143792874532,148.8432638335547,146.5757258242974
61,131.5948810231023,131.12313201320134,130.88504158415842,123.20279752475247,125.40406815181518,143.00713481848186,166.65518778877887,169.53681914191418,168.5432582508251,167.88530742574255,166.73955313531354,164.99666452145215,164.22416518151815,163.38267772277226,161.79919422442242,160.1463557755776,158.23177821782178,158.062599339934,156.44872277227725,154.40392321232122,153.0434088008801,151.70358063806384,150.28551265126512
62,128.3388068220196,127.96430074299225,128.34553444782168,120.28893718338402,123.28541327478464,139.6353329391892,161.6310243202162,163.83682232730956,163.30319824383653,161.89225920297196,160.29763475177305,159.52335950692333,157.86003765619725,157.65293380614656,156.55202702246245,154.7699536036036,152.94585000000004,152.07312249493359,151.20221414095926,150.37836064835665,148.40867492120665,146.50589216569114,146.13193313822603
63,128.20992737054473,128.68944375315283,128.44903463931394,120.57737262485287,121.9653966705902,140.69230284176896,162.9004746133154,165.34331086079357,164.56879707464694,162.89146452589105,163.12289221456197,162.09320380023541,160.3036766436859,158.47413284008744,157.47737430637295,155.7878836583726,154.50539686098656,154.5044337592468,152.50747881640888,150.45109280430393,149.58904550549204,147.4717201793722,146.47633183856505
64,128.5334301970109,128.21488349184781,129.27324320652176,120.33661769701087,123.34566389266303,140.78263790760872,163.56314368206523,167.77752674477838,167.19662686820652,166.0775608762099,164.7494347826087,163.763930208864,162.53737975543478,161.20476651383936,159.27850560461957,158.04996988224633,156.8939073822464,155.64452015398552,153.69429778079711,152.32077604166665,150.88105910326087,149.48419791666666,147.39060371376812
